"u:0","u:1","u:2","p","node_groups"
-0.04892,0.056899,0,-0.040564,0
-0.05251,0.064732,0,-0.043465,0
-0.056098,0.073058,0,-0.047084,0
-0.059692,0.081873,0,-0.051476,0
-0.063293,0.091173,0,-0.0567,0
-0.066904,0.10095,0,-0.062817,0
-0.070521,0.11119,0,-0.069893,0
-0.074142,0.12188,0,-0.077996,0
-0.077758,0.13301,0,-0.087201,0
-0.081359,0.14453,0,-0.097583,0
-0.084933,0.15644,0,-0.10922,0
-0.088464,0.16868,0,-0.1222,0
-0.091931,0.1812,0,-0.1366,0
-0.09531,0.19394,0,-0.1525,0
-0.098572,0.20682,0,-0.17001,0
-0.10168,0.21976,0,-0.18918,0
-0.10459,0.23263,0,-0.21012,0
-0.10724,0.24528,0,-0.23289,0
-0.10954,0.25756,0,-0.25755,0
-0.1114,0.26924,0,-0.28414,0
-0.11267,0.28008,0,-0.31268,0
-0.11314,0.28976,0,-0.34314,0
-0.11254,0.2979,0,-0.37542,0
-0.11048,0.30405,0,-0.40934,0
-0.10641,0.30766,0,-0.44459,0
-0.099578,0.3081,0,-0.4807,0
-0.088942,0.30463,0,-0.51694,0
-0.073076,0.29644,0,-0.55225,0
-0.050065,0.2827,0,-0.5852,0
-0.017391,0.26265,0,-0.6138,0
0.028148,0.23578,0,-0.63554,0
0.090424,0.2021,0,-0.64732,0
0.17379,0.16249,0,-0.64563,0
0.28258,0.11908,0,-0.62693,0
0.42022,0.07558,0,-0.58825,0
0.58795,0.037199,0,-0.5281,0
0.78347,0.010078,0,-0.44679,0
1,0,0,-0.34838,0
0,0,0,0,0
-0.0045187,0.0043661,0,-0.063712,0
-0.0090835,0.0046002,0,-0.041942,0
-0.013653,0.0068957,0,-0.043844,0
-0.018195,0.0094938,0,-0.040093,0
-0.022688,0.012794,0,-0.038507,0
-0.027119,0.016636,0,-0.036962,0
-0.031482,0.021027,0,-0.036017,0
-0.035779,0.02594,0,-0.035522,0
-0.040015,0.031363,0,-0.035531,0
-0.0442,0.037289,0,-0.036054,0
-0.048342,0.043712,0,-0.037118,0
-0.052454,0.050627,0,-0.038758,0
-0.056546,0.058032,0,-0.04101,0
-0.060625,0.065922,0,-0.043917,0
-0.0647,0.074293,0,-0.047525,0
-0.068774,0.08314,0,-0.051885,0
-0.072848,0.092456,0,-0.057053,0
-0.07692,0.10223,0,-0.063084,0
-0.080985,0.11245,0,-0.070041,0
-0.085033,0.12309,0,-0.077988,0
-0.089053,0.13413,0,-0.086991,0
-0.093026,0.14554,0,-0.097119,0
-0.096931,0.15728,0,-0.10844,0
-0.10074,0.1693,0,-0.12104,0
-0.10443,0.18154,0,-0.13497,0
-0.10795,0.19392,0,-0.15031,0
-0.11126,0.20635,0,-0.16712,0
-0.11431,0.21873,0,-0.18547,0
-0.11701,0.23091,0,-0.2054,0
-0.11929,0.24273,0,-0.22696,0
-0.12103,0.25401,0,-0.25015,0
-0.12207,0.26451,0,-0.27498,0
-0.12223,0.27395,0,-0.30137,0
-0.12125,0.282,0,-0.32925,0
-0.11877,0.28828,0,-0.35842,0
-0.11434,0.29233,0,-0.38863,0
-0.10732,0.29364,0,-0.41946,0
-0.096892,0.29162,0,-0.45035,0
-0.081946,0.28563,0,-0.48053,0
-0.061033,0.27504,0,-0.50894,0
-0.032295,0.25923,0,-0.53422,0
0.0065991,0.23775,0,-0.55466,0
0.058459,0.21046,0,-0.5682,0
0.12649,0.17774,0,-0.57248,0
0.21407,0.14073,0,-0.56504,0
0.32426,0.10159,0,-0.54362,0
0.45916,0.063567,0,-0.50655,0
0.61897,0.030902,0,-0.45325,0
0.80117,0.008291,0,-0.38457,0
1,0,0,-0.30311,0
0,0,0,0,0
-0.0054154,0.0043815,0,-0.063753,0
-0.010764,0.0046375,0,-0.041884,0
-0.01603,0.0069682,0,-0.043744,0
